creator_key,creator,title,media_type,publication_year,rating,period_of_my_life,tags,url
James Taylor,James Taylor,Before This World,Album,2015,Loved,20s,{Folk},https://open.spotify.com/album/2pmZbxvc1ysu9pddrpAZe9?si=eQT35ZAjTuGu_w9B0hEgBg
James Taylor,James Taylor,Hourglass,Album,1997,Loved,Childhood,{Folk},https://open.spotify.com/album/3E7Sj3kKbxY1Tsp7U0SKQi?si=s-Dvc9uJTfi_LD8gEw43Tw
James Taylor,James Taylor,Never Die Young,Album,1988,Loved,Childhood,{Folk},https://open.spotify.com/album/1j6fH6Wu4ROhcOYAYpjiUt?si=R3WWcr6TR4KDmr2M7KL6Ew
James Taylor,James Taylor,JT,Album,1977,Loved,Childhood,{Folk},https://open.spotify.com/album/0Pbc9Jq12a47mQ1z9yIuhn?si=wmEoK4POTTmGP4QNI6pf1A
James Taylor,James Taylor,Gorilla,Album,1975,Loved,Childhood,{Folk},https://open.spotify.com/album/0x491s63vRDvG25x2Fzrny?si=HuXRNgY2TZ2u5kCcx0d5oQ
James Taylor,James Taylor,Sweet Baby James,Album,1970,Loved,Childhood,{Folk},https://open.spotify.com/album/1HiG0ukRmFPN13EVcf98Jx?si=bgfHS7ALTZelMsFh6ZzHgQ
John Mayer,John Mayer,The Search for Everything,Album,2017,Loved,20s,{Rock},https://open.spotify.com/album/0jZFu2tihRJ65iYAo0oOtP?si=xNayx_UuTsie8cjg5gfFCQ
John Mayer,John Mayer,Room for Squares,Album,2001,Loved,Teens,{Rock},https://open.spotify.com/album/3yHOaiXecTJVUdn7mApZ48?si=hwkf9N77Tie1le2QZ3KFbg
John Williams,John Williams,Harry Potter and the Sorcer's Stone Original Motion Picture Soundtrack,Album,2001,Loved,Childhood,"{Classical},{Soundtrack}",https://open.spotify.com/album/6zeHM5CV0CjcS0K8ouWE4N?si=EhDh2Rx8QVm_thAaoymKYw
Joni Mitchell,Joni Mitchell,Blue,Album,1971,Loved,In the past year,{Folk},https://open.spotify.com/album/1vz94WpXDVYIEGja8cjFNa?si=ztE5xw2NTkuIwyvlH4bTKw
Kacey Musgraves,Kacey Musgraves,Golden Hour,Album,2018,Loved,20s,"{Folk},{Country}",https://open.spotify.com/album/7f6xPqyaolTiziKf5R5Z0c?si=i-rInECPTweIcNcIOA7BWA
Kanye West,Kanye West,The College Dropout,Album,2004,Loved,20s,{Rap},https://open.spotify.com/album/4Uv86qWpGTxf7fU7lG5X6F?si=7PDm7z7gQwCsdqC6CYfAcQ
Kanye West,Kanye West,Late Registration,Album,2005,Loved,20s,{Rap},https://open.spotify.com/album/5ll74bqtkcXlKE7wwkMq4g?si=ZmdTIlXiQFq7w5941uNCuw
